# Words as emoji.
#
# Everything else in tables/ replaces letters. This one replaces whole words, which the longest
# match rule makes work: a source of several characters is taken over any shorter source that also
# matches there, so chicken becomes one token rather than seven.
#
# Give it alongside the others and they are read into one set:
#
#   hashcat -m 0 -a 5 hashes.txt words.txt tables/leetspeak-common.table tables/emoji.table
#
# Adding this table to a run does not only add. Longest match takes the whole word as one token, so
# the letters inside it stop varying: chickenpass under leetspeak-common alone is 162 candidates and
# includes ch1ckenpass, and with this table it is 54 and does not, because chicken is now one token
# rather than seven letters. That is the price of matching whole words, and it is worth knowing before
# you put a common word in here.
#
# The list is a starting set. Add what your target audience would actually type.

chicken	🐔
cat	🐈
dog	🐕
heart	❤
love	❤
star	⭐
sun	☀
moon	🌙
fire	🔥
money	💰
beer	🍺
coffee	☕
pizza	🍕
rocket	🚀
skull	💀
ghost	👻
crown	👑
key	🔑
lock	🔒
music	🎵
football	⚽
smile	😀
ok	👌
no	❌
yes	✅
money	💵
dollar	💵
gold	🥇
diamond	💎
gem	💠
bomb	💣
knife	🔪
gun	🔫
sword	⚔
shield	🛡
fist	✊
eye	👁
eye	👀
eyes	👀
brain	🧠
tooth	🦷
bone	🦴
blood	🩸
tree	🌳
flower	🌸
leaf	🍃
rain	🌧
snow	❄
cloud	☁
wind	💨
earth	🌍
water	💧
ice	🧊
snowman	☃
rainbow	🌈
lightning	⚡
wave	🌊
volcano	🌋
mountain	⛰
desert	🏜
island	🏝
house	🏠
church	⛪
mosque	🕌
castle	🏰
tent	⛺
factory	🏭
hospital	🏥
school	🏫
bank	🏦
car	🚗
bus	🚌
train	🚆
plane	✈
ship	🚢
bike	🚲
anchor	⚓
fuel	⛽
map	🗺
compass	🧭
clock	🕐
hourglass	⏳
bell	🔔
phone	📱
laptop	💻
camera	📷
tv	📺
radio	📻
battery	🔋
plug	🔌
bulb	💡
candle	🕯
flashlight	🔦
book	📖
newspaper	📰
letter	✉
package	📦
pin	📌
paperclip	📎
scissors	✂
pencil	✏
paint	🎨
hammer	🔨
wrench	🔧
gear	⚙
magnet	🧲
test tube	🧪
microscope	🔬
telescope	🔭
satellite	🛰
alien	👽
robot	🤖
ghost	👻
zombie	🧟
vampire	🧛
witch	🧙
fairy	🧚
angel	😇
devil	😈
clown	🤡
poop	💩
baby	👶
king	🤴
queen	👸
police	👮
detective	🕵
farmer	👨‍🌾
doctor	👨‍⚕
teacher	👨‍🏫
cook	👨‍🍳
soldier	🎖
warning	⚠
stop	🛑
recycle	♻
checkmark	✔
cross	✖
plus	➕
minus	➖
infinity	♾
peace	☮
yin yang	☯
om	🕉
cross religion	✝
star of david	✡
medal	🏅
trophy	🏆
target	🎯
dice	🎲
puzzle	🧩
game controller	🎮
guitar	🎸
piano	🎹
drum	🥁
microphone	🎤
headphones	🎧
theater	🎭
ticket	🎫
gift	🎁
balloon	🎈
party	🎉
cake	🎂
tada	🎊
pumpkin	🎃
christmas tree	🎄
fireworks	🎆
sparkles	✨
snowflake	❄
umbrella	☂
wave	👋
ok	👌
okay	👌
oki	👌
wow	👌
